step,joint,action,target_q,q_curr,tau
0,L_hip_roll,-0.574585,0.000000,0.000000,-0.000000
0,L_hip_yaw,0.017396,0.000000,0.000000,-0.000000
0,L_hip_pitch,-0.218761,-0.130000,0.000000,-15.600000
0,L_knee,0.399683,-0.320000,-0.000000,-57.600000
0,L_foot_pitch,0.349850,0.190000,-0.000000,14.450000
0,L_foot_roll,-0.364976,0.000000,-0.000000,0.000000
0,R_hip_roll,-1.053755,0.000000,0.000000,-0.000000
0,R_hip_yaw,0.054184,0.000000,-0.000000,0.000000
0,R_hip_pitch,0.661252,0.130000,-0.000000,15.600000
0,R_knee,-0.241338,0.320000,-0.000000,57.600000
0,R_foot_pitch,-0.873787,-0.190000,0.000000,-14.450000
0,R_foot_roll,-0.815111,0.000000,-0.000000,0.000000
10,L_hip_roll,0.648783,0.000000,-0.000150,0.106437
10,L_hip_yaw,0.042209,0.000000,0.004975,-1.228154
10,L_hip_pitch,0.621483,-0.130000,-0.033771,-6.276470
10,L_knee,0.172337,-0.320000,-0.065260,-15.587061
10,L_foot_pitch,0.573062,0.190000,0.063208,0.945241
10,L_foot_roll,0.153652,0.000000,-0.000084,0.006975
10,R_hip_roll,0.402673,0.000000,0.000016,-0.023372
10,R_hip_yaw,-0.049335,0.000000,-0.004961,1.223390
10,R_hip_pitch,-0.401297,0.130000,0.033782,6.275018
10,R_knee,-0.030047,0.320000,0.065236,15.608182
10,R_foot_pitch,-0.738558,-0.190000,-0.062899,-1.008669
10,R_foot_roll,0.017107,0.000000,0.000059,-0.002505
20,L_hip_roll,-0.608753,0.000000,-0.000416,0.143131
20,L_hip_yaw,0.134645,0.000000,0.008544,-1.074522
20,L_hip_pitch,0.803642,-0.130000,-0.092697,1.409945
20,L_knee,-0.000268,-0.320000,-0.176180,6.917874
20,L_foot_pitch,0.002770,0.190000,0.150987,-4.371353
20,L_foot_roll,0.374855,0.000000,0.000040,-0.016792
20,R_hip_roll,-0.607825,0.000000,0.000125,-0.052182
20,R_hip_yaw,0.099916,0.000000,-0.008500,1.068333
20,R_hip_pitch,-0.509620,0.130000,0.092693,-1.407586
20,R_knee,-0.040092,0.320000,0.176078,-6.879177
20,R_foot_pitch,-0.825859,-0.190000,-0.150464,4.327895
20,R_foot_roll,-0.245240,0.000000,-0.000072,0.018759
30,L_hip_roll,0.041885,0.000000,-0.000402,0.019612
30,L_hip_yaw,0.131950,0.000000,0.005351,-0.079108
