Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.052947,-0.00029352,0.015473,0,0,0,4,0.039019,5.8E-05,-0.001584,0.011839,1E-05,0.045906,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/base_link.STL,,base_link-2024-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_hip_roll_link,0.058962,-3.726E-05,-0.001944,0,0,0,1.0785,0.001258,1E-06,1.9E-05,0.00134,1E-06,0.001902,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_hip_roll_link.STL,,L_hip_yaw_link-2024-1,L_hip_roll_link,L_hip_roll_joint,L_hip_roll_joint,continuous,-0.0715,0.135,0.0062,0,0,0,base_link,1,0,0,,,,,,,,,,,,
L_hip_yaw_link,0.00072648,-0.00011298,-0.060736,0,0,0,1.662,0.002535,1E-06,2.1E-05,0.003882,2.5E-05,0.002346,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_hip_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_hip_yaw_link.STL,,L_hip_pitch_link-2024-1,L_hip_yaw_link,L_hip_yaw_joint,L_hip_yaw_joint,continuous,0.065,0,-0.022,0,0,0,L_hip_roll_link,0,0,1,,,,,,,,,,,,
L_hip_pitch_link,0.00065662,-0.010121,-0.22956,0,0,0,2.129,0.021648,1E-06,8.1E-05,0.022663,-0.000865,0.002433,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_hip_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_hip_pitch_link.STL,,L_thigh_link-2024-1,L_hip_pitch_link,L_hip_pitch_joint,L_hip_pitch_joint,continuous,-3.49322273089925E-05,0.0204999702375277,-0.0670000000000057,0,0,0,L_hip_yaw_link,-0.00170401108835407,0.999998548172051,0,,,,,,,,,,,,
L_knee_link,0.0021929,-0.021086,-0.16657,0,0,0,1.7391,0.014502,1.8E-05,-6.7E-05,0.013687,-0.000982,0.001593,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_knee_link.STL,,L_leg_link-2024-1,L_knee_link,L_knee_joint,L_knee_joint,continuous,0.000313115318114399,0.00500054081190004,-0.299999827583929,0,0,0,L_hip_pitch_link,0.0017040110883775,-0.999998548172051,0,,,,,,,,,,,,
L_foot_pitch_link,4.2612E-05,-0.025,-1.9761E-11,0,0,0,0.0303,4E-06,0,0,4E-06,0,7E-06,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_foot_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_foot_pitch_link.STL,,十字轴-2024-1,L_foot_pitch_link,L_foot_pitch_joint,L_foot_pitch_joint,continuous,0,-0.000500000153495384,-0.34999999999962,0,0,0,L_knee_link,0.00170401108836505,-0.999998548172051,0,,,,,,,,,,,,
L_foot_roll_link,0.051071,8.7311E-05,-0.041358,0,0,0,0.7406,0.000416,-3E-06,1.9E-05,0.002107,0,0.002213,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_foot_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/L_foot_roll_link.STL,,脚本体-2024-1,L_foot_roll_link,L_foot_roll_joint,L_foot_roll_joint,continuous,-0.0249573271314456,-0.0250425639196625,4.26002772095924E-05,0,0,0,L_foot_pitch_link,0.999997096346211,0.00170400861446901,-0.0017040110883815,,,,,,,,,,,,
R_hip_roll_link,0.058962,-3.726E-05,-0.001944,0,0,0,1.0785,0.001258,1E-06,1.9E-05,0.00134,1E-06,0.001902,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/R_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/R_hip_roll_link.STL,,R_hip_yaw_link-2024-1,R_hip_roll_link,R_hip_roll_joint,R_hip_roll_joint,continuous,-0.0715,-0.135,0.0062,0,0,0,base_link,1,0,0,,,,,,,,,,,,
R_hip_yaw_link,-0.00072648,0.00011298,-0.060736,0,0,0,1.662,0.002535,1E-06,-2.1E-05,0.003882,-2.5E-05,0.002346,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/R_hip_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/R_hip_yaw_link.STL,,R_hip_pitch_link-2024-1,R_hip_yaw_link,R_hip_yaw_joint,R_hip_yaw_joint,continuous,0.0650000000000006,0,-0.0219999999999896,0,0,0,R_hip_roll_link,0,0,1,,,,,,,,,,,,
R_hip_pitch_link,-0.00065662,0.010121,-0.22956,0,0,0,2.129,0.021648,1E-06,-8.1E-05,0.022663,0.000865,0.002433,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/R_hip_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://ZRobot_parts_21dofs24.SLDASM/meshes/R_hip_pitch_link.STL,,R_thigh_link-2024-1,R_hip_pitch_link,R_hip_pitch_joint,R_hip_pitch_joint,continuous,3.49322273081043E-05,-0.0204999702375275,-0.0670000000000071,0,0,0,R_hip_yaw_link,0.0017040110883879,-0.999998548172051,0,,,,,,,,,,,,
